title,url,publish_date,media_name,facebook_share_count
Israeli military says 2 Gaza rockets hit southern Israel,https://www.washingtontimes.com/news/2020/jun/26/israeli-military-says-2-gaza-rockets-hit-southern-/?utm_source=RSS_Feed&utm_medium=RSS,6/26/2021 0:00,Washington Times,0
"Police brutality, coronavirus on agenda for Oregon lawmakers",https://www.washingtontimes.com/news/2020/jun/24/police-brutality-coronavirus-on-agenda-for-oregon-/?utm_source=RSS_Feed&utm_medium=RSS,6/24/2021 0:00,Washington Times,0
"Joey Rodolfo, Seattle business owner, to leave city after 38 years: 'We have no leadership'",https://www.washingtontimes.com/news/2020/jun/24/joey-rodolfo-seattle-business-owner-to-leave-city-/?utm_source=RSS_Feed&utm_medium=RSS,6/24/2021 0:00,Washington Times,0
"UConn Might Cut Men’s Tennis, Swimming And Cross Country And Women’s Rowing During The Coronavirus Pandemic",https://dailycaller.com/2020/06/24/uconn-cutting-mens-tennis-womens-rowing-swimming-and-cross-country-coronavirus-pandemic-proposal/,6/24/2021 0:00,Daily Caller,0
Texas’ Abbott calls state’s recent surge in COVID-19 cases ‘unacceptable’,https://www.foxnews.com/politics/texas-abbott-calls-states-recent-surge-in-covid-19-cases-unacceptable,6/23/2021 0:00,Fox News,615
"South Africa's minibus taxis go on strike, hitting workers",https://www.washingtontimes.com/news/2020/jun/22/south-africas-minibus-taxis-go-on-strike-hitting-w/?utm_source=RSS_Feed&utm_medium=RSS,6/22/2021 0:00,Washington Times,0
Superstar Boxer Kim Clavel Honored With Pat Tillman Award For Service After Leaving Ring During Pandemic,https://dailycaller.com/2020/06/22/boxer-kim-clavel-pat-tillman-award-coronavirs/,6/22/2021 0:00,Daily Caller,0
NASA's next mission to Mars will honor those fighting against COVID-19,https://www.foxnews.com/science/nasas-next-mission-mars-honor-covid-19,6/18/2021 0:00,Fox News,177
California Gov. Newsom Issues Statewide Order Requiring Masks in Public,https://www.theepochtimes.com/california-gov-newsom-issues-statewide-order-requiring-face-masks-in-public_3393635.html,6/18/2021 0:00,Epoch Times,1775
US economy faces protracted recovery from coronavirus lockdowns | Fox Business,https://www.foxbusiness.com/markets/us-economy-has-long-road-to-recovery-from-coronavirus-lockdowns,6/17/2021 0:00,Fox News,3
"Study: 41% of Black Businesses Victim of Coronavirus Lockdown; Hispanic, Asian Owners also Suffer",http://feedproxy.google.com/~r/breitbart/~3/b1_FiB6-EpY/,6/15/2021 0:00,Breitbart,0
Honolulu council leaders halt rail transit authority audit,https://www.washingtontimes.com/news/2020/jun/12/honolulu-council-leaders-halt-rail-transit-authori/?utm_source=RSS_Feed&utm_medium=RSS,6/12/2021 0:00,Washington Times,0
Garth Brooks Concert to Be Played at 300 Drive-in Theaters,http://feedproxy.google.com/~r/breitbart/~3/YWQLG6HnSS4/,6/12/2021 0:00,Breitbart,13
"Media, Democrats Declare Trump Rally Plans Racist",http://feedproxy.google.com/~r/breitbart/~3/usZ3drSPfkQ/,6/12/2021 0:00,Breitbart,0
"Minimizing everyday coronavirus risk: CDC posts long-awaited tips, guidelines",https://www.foxnews.com/health/minimizing-everyday-coronavirus-risk-cdc-posts-long-awaited-tips,6/12/2021 0:00,Fox News,21
Tyson Fury and Anthony Joshua agree to two-fight deal,https://www.washingtontimes.com/news/2020/jun/10/tyson-fury-and-anthony-joshua-agree-to-two-fight-d/?utm_source=RSS_Feed&utm_medium=RSS,6/10/2021 0:00,Washington Times,0
"Cavs among omitted 8, will use summer slight as motivation",https://www.washingtontimes.com/news/2020/jun/9/cavs-among-omitted-8-will-use-summer-slight-as-mot/?utm_source=RSS_Feed&utm_medium=RSS,6/9/2021 0:00,Washington Times,0
Australia Post’s New Model Might Cost Jobs and Scale Back Services,https://www.theepochtimes.com/australia-posts-new-model-might-cost-jobs-and-scale-back-services_3382995.html,6/9/2021 0:00,Epoch Times,2
Peter Navarro: China has exploited coronavirus pandemic to advance its strategic interests – here’s how,https://www.foxnews.com/opinion/peter-navarro-china-has-exploited-coronavirus-pandemic-to-advance-its-strategic-interests-heres-how,6/7/2021 0:00,Fox News,538
Fans set to return as New Zealand loosens virus restrictions,https://www.washingtontimes.com/news/2020/jun/7/fans-set-to-return-as-new-zealand-loosens-virus-re/?utm_source=RSS_Feed&utm_medium=RSS,6/7/2021 0:00,Washington Times,0
,,,,
Number of COVID-19 cases reach 17 in Davidson County,https://www.the-dispatch.com/story/news/local/2020/03/30/covid-19-cases-in-davidson-county-reach-17/41790147/,3/30/2021 0:00,the-dispatch.com,0
Trump says coronavirus test that offers quick results could be ready this week,https://www.foxnews.com/media/trump-coronavirus-cases-testing-fox-friends,3/30/2021 0:00,Fox News,99
Pelosi Lies About House Bill On CNN: ‘Everything We Are Suggesting Here Relates To COVID-19’,https://dailycaller.com/2020/03/24/pelosi-lies-coronavrirus-house-bill/,3/24/2021 0:00,Daily Caller,30033
Chloroquine phosphate death prompts coronavirus self-medication warning,https://www.washingtontimes.com/news/2020/mar/23/chloroquine-phosphate-death-prompts-coronavirus-se/?utm_source=RSS_Feed&utm_medium=RSS,3/23/2021 0:00,Washington Times,0
"Coronavirus-led recession could be as bad as 2008 crisis, IMF chief warns | Fox Business",https://www.foxbusiness.com/economy/coronavirus-led-recession-bad-as-2008-crisis-imf-chief,3/23/2021 0:00,Fox News,6
Jesse Watters: 'We shall overcome' the coronavirus 'if we all work together',https://www.foxnews.com/media/jesse-watters-coronavirus-work-together,3/21/2021 0:00,Fox News,432
New Orleans' 'Let the good times roll' now 'Wash your hands',https://www.washingtontimes.com/news/2020/mar/21/new-orleans-let-the-good-times-roll-now-wash-your-/?utm_source=RSS_Feed&utm_medium=RSS,3/21/2021 0:00,Washington Times,0
"The drive-in, relic of yesterday, finds itself suited to now",https://www.washingtontimes.com/news/2020/mar/20/the-drive-in-relic-of-yesterday-finds-itself-suite/?utm_source=RSS_Feed&utm_medium=RSS,3/20/2021 0:00,Washington Times,0
