title,url,publish_date,media_name,facebook_share_count
Coronavirus case at Mexico border refugee camp raises alarm,https://www.foxnews.com/world/coronavirus-mexico-border-refugee-camp-immigration,6/30/2021 0:00,Fox News,31
Inmate Coronavirus Infections Skyrocket in California,https://reason.com/2020/06/30/inmate-coronavirus-infections-skyrocket-in-california/,6/30/2021 0:00,Reason.com,70
NBA to paint 'Black Lives Matter' on courts for season restart: Report | Fox Business,https://www.foxbusiness.com/sports/nba-black-lives-matter-courts-season-restart,6/29/2021 0:00,Fox News,322
"Arizona bishop under quarantine, getting tested after priest infected with coronavirus",https://www.foxnews.com/us/arizona-bishop-tested-under-quarantine-priest-infected-coronavirus,6/29/2021 0:00,Fox News,35
How Chad Wolf Undermines Trump’s Immigration Promises At DHS,https://dailycaller.com/2020/06/27/donald-trump-chad-wolf-dhs-pedro-gonzalez/,6/27/2021 0:00,Daily Caller,212
"Coronavirus has claimed lives of 10 Delta Air Lines employees, infected 500 others, CEO says",https://www.foxnews.com/travel/coronavirus-deaths-delta-air-lines,6/25/2021 0:00,Fox News,106
Andrew Cuomo Shames Ron DeSantis: ‘You Played Politics With The Virus And You Lost’,https://dailycaller.com/2020/06/25/andrew-cuomo-shames-ron-desantis-covid-response-politics/,6/25/2021 0:00,Daily Caller,1265
State Department designates 4 more Chinese news outlets as propaganda,https://www.foxnews.com/politics/state-department-designates-4-more-chinese-news-outlets-as-propaganda,6/22/2021 0:00,Fox News,384
Comedian D.L. Hughley Tests Positive For Coronavirus After Collapsing On Stage,https://dailycaller.com/2020/06/22/d-l-hughley-tests-positive-coronavirus-collapses-on-stage/,6/22/2021 0:00,Daily Caller,2
"OK Sen. Inhofe on Trump's Tulsa rally: COVID-19 waiver a 'good idea,' not afraid of protesters",https://www.foxnews.com/media/sen-inhofe-trump-tulsa-rally-coronavirus-protesters-saturday,6/20/2021 0:00,Fox News,53
Engel fights to hold onto seat against AOC-backed challenger: What to know about the June 23 primaries,https://www.foxnews.com/politics/engel-tries-to-hold-onto-seat-against-aoc-backed-challenger-what-to-know-about-the-june-23-elections,6/19/2021 0:00,Fox News,39
FACT CHECK: Viral Image Claims COVID-19 Stands For ‘Certificate Of Vaccination Identification’,http://checkyourfact.com/2020/06/18/fact-check-covid-19-stands-certificate-vaccination-identification/,6/18/2021 0:00,Daily Caller,7
Massachusetts orders utilities cut off at gym defying lockdown — so the owner gets generators and porta potties,https://www.theblaze.com/news/prime-gym-generators-utilities-lockdown,6/18/2021 0:00,Blaze,10970
Delingpole: Scrapping Foreign Aid Waste Will Not Save Boris's Skin,https://www.breitbart.com/europe/2020/06/18/delingpole-scrapping-foreign-aid-waste-will-not-save-boriss-skin/,6/18/2021 0:00,Breitbart,21
Dem-imposed coronavirus orders face lawsuits across the nation | Fox News,https://www.foxnews.com/politics/dem-imposed-pandemic-orders-face-lawsuits-across-the-nation.amp,6/14/2021 0:00,Fox News,17290
Chinese Students Safe in Australia Says Universities Peak Body,https://www.theepochtimes.com/chinese-students-safe-in-australia-says-universities-peak-body_3384552.html,6/11/2021 0:00,Epoch Times,10
Canceling Ivanka Trump spurs backlash for Kansas college | Fox Business,https://www.foxbusiness.com/lifestyle/canceling-ivanka-trump-spurs-backlash-for-kansas-college,6/10/2021 0:00,Fox News,246
"Dunkin’ to hire 25,000 employees | Fox Business",https://www.foxbusiness.com/lifestyle/dunkin-hire-employees-restaurants,6/8/2021 0:00,Fox News,155
"Floyd Mayweather calls out Conor McGregor on retirement: 'If you ... come back, I will be waiting to punish you again'",https://www.foxnews.com/sports/floyd-mayweather-calls-out-conor-mcgregor-on-retirement,6/8/2021 0:00,Fox News,22
"Most Regions Outside Toronto, Hamilton Areas to Move to Stage 2 of Reopening",https://www.theepochtimes.com/most-regions-outside-toronto-hamilton-areas-to-move-to-stage-2-of-reopening_3380922.html,6/8/2021 0:00,Epoch Times,9
"Brooks Brothers Converting Factories to Produce Masks, Gowns",https://www.theepochtimes.com/brooks-brothers-converting-factories-to-produce-masks-gowns_3292211.html,3/31/2021 0:00,Epoch Times,150
Biden to Trump: 'Step Up and Do Your Job -- Stop Campaigning',http://feedproxy.google.com/~r/breitbart/~3/VwQDUOu0klw/,3/30/2021 0:00,Breitbart,653
Australia Government Says Social Distancing Helping to Slow Coronavirus Spread,https://www.theepochtimes.com/australia-government-says-social-distancing-helping-to-slow-coronavirus-spread_3289734.html,3/29/2021 0:00,Epoch Times,87
"Lisa Vanderpump talks dog adoption, fostering amid coronavirus pandemic: 'Furry people' bring 'comfort'",https://www.foxnews.com/entertainment/lisa-vanderpump-dog-rescue-coronavirus,3/24/2021 0:00,Fox News,16
"Lindsey Graham: Amid COVID-19 pandemic, Congress is working to restore Americans' income",https://www.foxnews.com/media/lindsey-graham-coronavirus-congress-restore-americans-income,3/19/2021 0:00,Fox News,104
Hawaii grants OK for 2 cruise ships to dock in Honolulu – but all must stay onboard,https://www.foxnews.com/us/hawaii-grants-ok-for-2-cruise-ships-to-dock-in-honolulu-but-all-must-stay-onboard,3/19/2021 0:00,Fox News,127
Coronavirus: California Prepared for Martial Law Possibility,http://feedproxy.google.com/~r/breitbart/~3/M7-tpgqECXI/,3/18/2021 0:00,Breitbart,6139
ER doctor on coronavirus: Americans must take 'responsibility and do our part' | Fox News,https://www.foxnews.com/media/james-phillips-americans-must-take-responsibility-on-coronavirus,3/15/2021 0:00,Fox News,171
Peter Navarro asks Congress to pass Trump payroll tax cut,https://www.foxnews.com/politics/peter-navarro-trump-payroll-tax-cut-congress,3/15/2021 0:00,Fox News,866
"China Is Trying To Pin Coronavirus On The U.S., And The Media Is Letting Them",https://dailycaller.com/2020/03/13/china-is-trying-to-pin-coronavirus-on-the-u-s-and-the-media-is-letting-them/,3/13/2021 0:00,Daily Caller,40
Walmart CEO says hand sanitizer may be scarce 'for some time' | Fox Business,https://www.foxbusiness.com/money/coronavirus-walmart-hand-sanitizer-supply,3/13/2021 0:00,Fox News,30
"How Biden, Sanders would combat coronavirus outbreak | Fox Business",https://www.foxbusiness.com/politics/how-biden-sanders-would-combat-coronavirus-outbreak,3/13/2021 0:00,Fox News,183
Natural Ways to Prepare for the Coronavirus COVID-19,https://www.theepochtimes.com/natural-ways-to-prepare-for-the-coronavirus-covid-19_3260604.html,3/13/2021 0:00,Epoch Times,91
"Geraldo Rivera To Dan Bongino: ‘You’re Lucky You’re Not In Front Of Me, Big Guy’",https://dailycaller.com/2020/03/13/geraldo-rivera-dan-bongino-argue-hannity/,3/13/2021 0:00,Daily Caller,312
