title,url,publish_date,media_name,facebook_share_count
"GSK Ebola vaccine fast-tracked into US, UK and African trials",http://feeds.foxnews.com/~r/foxnews/health/~3/OpU1PlfKhO4/,8/28/2021 0:00,Fox News,0
"Amid Ebola, some airlines have canceled flights",http://feedproxy.google.com/~r/Nation-TheWashingtonTimesAmericasNewspaper/~3/rOuCIehKSvc/,8/28/2021 0:00,Washington Times,1
"Mission Says American Ebola Patient Brought Back to U.S. Has Recovered, Was Discharged",https://www.theblaze.com/news/2014/08/21/mission-says-american-ebola-patient-brought-back-to-u-s-has-recovered-was-discharged,8/21/2021 0:00,Blaze,37
"Wesley J. Smith - Ebola Doctors Okay, Released From Emory",http://www.nationalreview.com/corner/385965/ebola-doctors-okay-released-emory-wesley-j-smith,8/21/2021 0:00,National Review,8
Kenya to bar travelers from Ebola-hit countries,http://www.washingtontimes.com/news/2014/aug/17/kenya-to-bar-travelers-from-ebola-hit-countries/?utm_source=RSS_Feed&utm_medium=RSS,8/17/2021 0:00,Washington Times,0
Precautions for Ebola in place at Youth Olympics,http://feedproxy.google.com/~r/Sports-TheWashingtonTimesAmericasNewspaper/~3/lpZxIDDBdvs/,8/15/2021 0:00,Washington Times,0
"Obama Speaks to Leaders of Liberia, Sierra Leone About Ebola - Breitbart",http://www.breitbart.com/big-government/2014/08/14/obama-speaks-to-leaders-of-liberia-sierra-leone-about-ebola/,8/14/2021 0:00,Breitbart,0
Another lead doctor dies from Ebola in Sierra Leone,http://feeds.foxnews.com/~r/foxnews/health/~3/rZps1Yv_BfQ/,8/13/2021 0:00,Fox News,9
Spanish Ebola patient gets experimental drug,http://www.washingtontimes.com/news/2014/aug/11/spanish-ebola-patient-gets-experimental-drug/?utm_source=RSS_Feed&utm_medium=RSS,8/11/2021 0:00,Washington Times,0
US cuts resources for project involved in Ebola battle in Sierra Leone,http://feeds.foxnews.com/~r/foxnews/health/~3/jqZkMpjXWZQ/,8/8/2021 0:00,Fox News,27
Ebola Outbreak 2014: No Ebola Drug for Africans; Troops Deployed,http://www.theepochtimes.com/n3/853417-ebola-outbreak-2014-no-ebola-drug-for-africans-troops-deployed/?sidebar=related-below,8/7/2021 0:00,Epoch Times,3
‘Why Does Our Daddy Need to Be in Prison for Loving Jesus?’: Kids Send Emotional Video Message to Obama,https://www.theblaze.com/news/2014/08/06/my-heart-cries-these-children-have-a-heartwrenching-plea-for-president-obama,8/6/2021 0:00,Blaze,4925
Saudi Man With Ebola Symptoms Dies in Hospital,http://www.theepochtimes.com/n3/848674-saudi-man-with-ebola-symptoms-dies-in-hospital/?sidebar=related-below,8/6/2021 0:00,Epoch Times,0
Ebola therapy hopes shift to small California biotech company,http://feeds.foxnews.com/~r/foxnews/health/~3/2N77UIYTRHU/,8/5/2021 0:00,Fox News,32
Sierra Leone cancels all football over Ebola,http://feedproxy.google.com/~r/Sports-TheWashingtonTimesAmericasNewspaper/~3/at4lQxKFO5E/,8/5/2021 0:00,Washington Times,0
Trump Reacts to Backlash Over Tweet on Ebola-Infected American,https://insider.foxnews.com/2014/08/04/donald-trump-reacts-backlash-over-tweet-ebola-infected-american,8/4/2021 0:00,Fox News,0
"NBC Cameraman Ashoka Mukpo Diagnosed With Ebola, but Spirits Up - The Epoch Times",http://www.theepochtimes.com/n3/997202-nbc-cameraman-ashoka-mukpo-diagnosed-with-ebola-but-spirits-up/,8/3/2021 0:00,Epoch Times,1
Pirro to Obama: 'Whose Side Are You Really On?',http://www.breitbart.com/Breitbart-TV/2014/08/03/Pirro-to-Obama-Whose-Side-Are-You-Really-On,8/3/2021 0:00,Breitbart,196
"Marc Siegel - America, Ebola, and Fear",http://www.nationalreview.com/article/384366/america-ebola-and-fear-marc-siegel,8/2/2021 0:00,National Review,485
What would happen if Ebola came to the US?,http://feeds.foxnews.com/~r/foxnews/health/~3/nyu_0rgCuoE/,8/1/2021 0:00,Fox News,36
"The Scale of the Ebola Crisis is Unprecedented, Says CDC Director",http://www.theepochtimes.com/n3/854226-the-scale-of-the-ebola-crisis-is-unprecedented-says-cdc-director/?sidebar=related-below,8/7/2021 0:00,Epoch Times,4
CDC Director Brushes Off Concerns that Ebola Could Come Across Southern U.S. Border ,http://www.breitbart.com/Big-Government/2014/08/07/CDC-Director-Brushes-Off-Concerns-that-Ebola-Could-Come-Across-Southern-U-S-Border,8/7/2021 0:00,Breitbart,374
"Chief Nurse at Emory Defends Ebola Transfer: 'We Can Fear, Or We Can Care'",http://www.breitbart.com/Big-Peace/2014/08/07/Chief-Nurse-at-Emory-Defends-Ebola-Transfer-We-can-fear-or-we-can-care,8/7/2021 0:00,Breitbart,12
"US doctor treated for Ebola virus has recovered, aid group says",http://feeds.foxnews.com/~r/foxnews/health/~3/s3m4TyMg8a4/,8/21/2021 0:00,Fox News,2440
,,,,
Top 5 Wins And Losses For Taxpayers In 2014,http://dailycaller.com/2014/12/31/top-5-wins-and-losses-for-taxpayers-in-2014/,12/31/2014 15:24,Daily Caller,11
"CDC to hire lab safety chief after Ebola, bird flu mishaps",http://feeds.foxnews.com/~r/foxnews/health/~3/Pz3YYn-1A34/,12/31/2014 12:12,Fox News,13
"After slow Ebola response, WHO seeks to avoid repeat",http://feeds.foxnews.com/~r/foxnews/health/~3/Pz3YYn-1A34/,12/30/2014 7:09,Fox News,1
McConnell triumphs voted top news story for 2014 in Ky.,http://www.washingtontimes.com/news/2014/dec/25/mcconnell-triumphs-voted-top-news-story-for-2014-i/?utm_source=RSS_Feed&utm_medium=RSS,12/25/2014 11:12,Washington Times,0
"As many as a dozen CDC scientists exposed to Ebola, report says",http://feeds.foxnews.com/~r/foxnews/health/~3/PCYzyGhdpM8/,12/24/2014 21:35,Fox News,31
"Fear, hope mark life inside Ebola center in Sierra Leone, doctor says",http://feeds.foxnews.com/~r/foxnews/health/~3/h5QRr1ExMtQ/,12/9/2014 12:15,Fox News,4
China approves experimental Ebola vaccine for clinical trials,http://feeds.foxnews.com/~r/foxnews/health/~3/yOCOkh051Iw/,12/18/2014 12:32,Fox News,5
AP News in Brief at 7:58 p.m. EST,http://feedproxy.google.com/~r/FOREIGN-TheWashingtonTimesAmericasNewspaper/~3/TCIyc6rodVA/,12/24/2014 21:00,Washington Times,0
Top news of 2014 left public grasping for answers,http://feedproxy.google.com/~r/FOREIGN-TheWashingtonTimesAmericasNewspaper/~3/XfYWlVqvHTk/,12/22/2014 17:26,Washington Times,0
Tekmira to supply Ebola treatment for studies in West Africa,http://feeds.foxnews.com/~r/foxnews/health/~3/4az_nZ9dq4E/,12/22/2014 15:40,Fox News,4
Sierra Leone urges safe burials to stem Ebola,http://www.washingtontimes.com/news/2014/dec/21/sierra-leone-urges-safe-burials-to-stem-ebola/?utm_source=RSS_Feed&utm_medium=RSS,12/21/2014 10:14,Washington Times,0
"Celebrities, lawmakers slam Sony's surrender: 'The hackers won'",http://feedproxy.google.com/~r/Entertainment-TheWashingtonTimesAmericasNewspaper/~3/YGeWoAM0Cqw/,12/18/2014 18:02,Washington Times,0
Massachusetts doctor cured of Ebola returning to Liberia,http://feeds.foxnews.com/~r/foxnews/health/~3/wI9AHoCCZMc/,12/16/2014 19:40,Fox News,9
"Spending bill passes House after pleas from Obama, GOP leaders",http://www.washingtontimes.com/news/2014/dec/11/spending-bill-passes-house-after-pleas-obama-gop-l/?utm_source=RSS_Feed&utm_medium=RSS,12/12/2014 2:41,Washington Times,0
"Obama, White House Attempt To Save Boehner Omnibus Bill",http://www.breitbart.com/Big-Government/2014/12/11/Obama-White-House-Attempt-To-Save-Flailing-Boehner-Omnibus-Bill,12/11/2014 18:24,Breitbart,51
"Coca-Cola Donates $200,000 to Liberia to Fight Ebola",https://www.breitbart.com/national-security/2014/12/10/coca-cola-donates-200-000-to-liberia-to-fight-ebola/,12/10/2014 19:23,Breitbart,9
"Ellen Johnson Sirleaf, Liberian president, thanks Congress for Ebola aid",http://feedproxy.google.com/~r/FOREIGN-TheWashingtonTimesAmericasNewspaper/~3/JonaJR61h70/,12/10/2014 16:12,Washington Times,0
Police: SUV Involved in Teen’s Death Displayed Anti-Muslim Message in Rear Window,https://www.theblaze.com/news/2014/12/06/police-suv-involved-in-teens-death-displayed-anti-muslim-message-in-rear-window,12/6/2014 19:04,Blaze,0
"Simple intravenous fluid could save many Ebola patients, specialists say",http://feeds.foxnews.com/~r/foxnews/health/~3/7SyAk1s2Wfo/,12/5/2014 12:17,Fox News,14
Multiple Suspected Ebola Cases Surface In Pakistan,http://www.breitbart.com/Big-Peace/2014/12/02/Multiple-Suspected-Ebola-Cases-Surface-In-Pakistan,12/2/2014 19:23,Breitbart,1
35 US hospitals designated as Ebola treatment centers,http://feeds.foxnews.com/~r/foxnews/health/~3/zJcvM-4CA88/,12/2/2014 17:25,Fox News,39
Advice for Republicans: How to Tame a Cromnibus,https://www.nationalreview.com/corner/393795/advice-republicans-how-tame-cromnibus-veronique-de-rugy,12/2/2014 14:35,National Review,5
Congress crams unfinished agenda into final days,http://www.washingtontimes.com/news/2014/dec/1/congress-crams-unfinished-agenda-into-final-days/?utm_source=RSS_Feed&utm_medium=RSS,12/1/2014 17:07,Washington Times,0
,,,,
KENDALL: The coming   Ebola bounce,http://feedproxy.google.com/~r/Commentary-TheWashingtonTimesAmericasNewspaper/~3/uQKl5_50iqU/,10/31/2014 22:31,Washington Times,13
KNIGHT: Ebola response ignores history's lessons,http://feedproxy.google.com/~r/Commentary-TheWashingtonTimesAmericasNewspaper/~3/RQYIh-muuC8/,10/31/2014 22:05,Washington Times,0
Ebola becomes a big issue in this Senate race,https://www.theblaze.com/news/2014/10/31/ebola-becomes-a-big-issue-in-this-senate-race,10/31/2014 17:04,Blaze,0
Kay Hagan Refuses To Say If Obama Has Done A Good Job [VIDEO],http://dailycaller.com/2014/10/29/kay-hagan-refuses-to-say-if-obama-has-done-a-good-job-video/,10/29/2014 20:19,Daily Caller,18
Cuomo revises New York policy for Ebola quarantine,http://feedproxy.google.com/~r/Nation-TheWashingtonTimesAmericasNewspaper/~3/GD9ReOSDriw/,10/27/2014 2:35,Washington Times,1
Dallas nurse with Ebola's condition upgraded,http://feedproxy.google.com/~r/Front-TheWashingtonTimesAmericasNewspaper/~3/A0QfcXcAqZs/,10/21/2014 21:49,Washington Times,0
Tina Brown: ‘I Don’t Think [Obama] Makes [Women] Feel Safe’ [VIDEO],http://dailycaller.com/2014/10/20/tina-brown-i-dont-think-obama-makes-women-feel-safe-video/,10/20/2014 10:31,Daily Caller,114
WHO says it won't discuss Ebola mistakes document,http://feeds.foxnews.com/~r/foxnews/health/~3/SIBAeCIwtxI/,10/18/2014 17:52,Fox News,349
"Nina Pham, first nurse stricken with Ebola, heads to Maryland",http://feeds.foxnews.com/~r/foxnews/health/~3/jITbdRSpAKI/,10/17/2014 0:48,Fox News,24
Pool Spray at Ebola Meeting in Oval Office,http://feeds.foxnews.com/~r/blogs/Gretawire/~3/bzDi2QwuFG0/,10/17/2014 0:23,Fox News,2
UN: Immediate Exit Screening for Ebola at Some Airports,http://www.theepochtimes.com/n3/888486-un-urges-exit-screening-for-ebola-at-some-airports/?sidebar=related-below,10/16/2014 11:05,Epoch Times,2
President Ben Carson Would Implement Ebola Travel Ban [VIDEO],http://dailycaller.com/2014/10/16/president-ben-carson-would-implement-ebola-travel-ban-video/,10/16/2014 10:39,Daily Caller,72
The Florida Gubernatorial Debate Was Briefly Delayed Because of This ‘Extremely Peculiar Situation’,http://www.theblaze.com/stories/2014/10/15/the-florida-gubernatorial-debate-was-briefly-delayed-because-of-this-extremely-peculiar-situation/,10/15/2014 21:42,Blaze,321
"This Couple Built Their $680,000 Dream Home. Then They Realized It Was On Their Neighbor’s Land.",http://www.theblaze.com/stories/2014/10/15/this-couple-built-their-680000-dream-home-then-they-realized-it-was-on-their-neighbors-land/,10/15/2014 15:12,Blaze,1949
Biden: ‘I Pray That It Is Sooner Rather Than Later’ That We Have Another Gun Control Champion,https://www.theblaze.com/news/2014/10/10/biden-i-pray-that-it-is-sooner-rather-than-later-that-we-have-another-gun-control-champion,10/10/2014 14:15,Blaze,63
GOP Rep: New DHS Ebola 'Travel Restrictions' Are 'Nothing of the Sort',http://www.breitbart.com/Big-Government/2014/10/21/Murphy-New-DHS-Ebola-Travel-Restrictions-Are-Nothing-of-the-Sort,10/21/2014 21:36,Breitbart,14
Texas nurse infected with Ebola identified,http://feeds.foxnews.com/~r/foxnews/health/~3/iuVvRY7zZ8w/,10/13/2014 20:29,Fox News,151
"Obama Retreats On Ebola, Accepts Tighter Security",http://dailycaller.com/2014/10/08/obama-retreats-on-ebola-accepts-tighter-security/,10/8/2014 15:21,Daily Caller,11
CDC: Announces Beefed Up Ebola Travel Screenings,http://www.breitbart.com/Breitbart-TV/2014/10/08/CDC-Announces-Beefed-Up-Ebola-Travel-Screenings,10/8/2014 21:32,Breitbart,44
Experimental drug the 'best choice' for American journalist with Ebola,http://feeds.foxnews.com/~r/foxnews/health/~3/NJALHeDJFUA/,10/7/2014 17:36,Fox News,160
Morning Mirror,http://dailycaller.com/2014/10/06/morning-mirror-185/,10/6/2014 9:55,Daily Caller,2
About 50 Under Observation in Texas over Ebola,http://reason.com/24-7/2014/10/03/about-50-under-observation-in-texas-over,10/3/2014 16:50,Reason.com,2
"Gohmert: 'Politcal Correctness' Behind 3,000 Troops Sent to Africa Who Can Bring Ebola to US",http://www.breitbart.com/Breitbart-TV/2014/10/02/Gohmert-Politcal-Correctness-Caused-Obama-to-Send-3000-Troops-Who-Will%20Bring-Ebola-Back-To-US,10/2/2014 19:14,Breitbart,593
Ted Cruz Wants to Give the President Even More Power,http://reason.com/archives/2014/10/23/should-we-strip-terrorists-of-citizenshi,10/23/2014 12:00,Reason.com,96
Ebola threat at hotels?,https://www.foxnews.com/travel/hotels-step-up-measures-to-protect-against-ebola,10/20/2014 17:07,Fox News,47
