title,url,publish_date,media_name,facebook_share_count
Senegal Reports First Confirmed Case of Ebola,http://www.theepochtimes.com/n3/921928-senegal-reports-first-confirmed-case-of-ebola/,8/29/2021 0:00,Epoch Times,46
"Kevin McCarthy Can Give Republicans Another Tool To Retake The Senate (And It Would Help Him In DC, Too)",http://dailycaller.com/2014/08/26/kevin-mccarthy-can-give-republicans-another-tool-to-retake-the-senate-and-it-would-help-him-in-dc-too/,8/26/2021 0:00,Daily Caller,52
"70 die from illness in Congo, WHO denies Ebola link",http://feeds.foxnews.com/~r/foxnews/health/~3/MmjuB9Ym-yo/,8/21/2021 0:00,Fox News,27
‘God Saved My Life’: Watch the Powerful Speech About Prayer and Faith Given by the Missionary Declared Free of Ebola,http://www.theblaze.com/stories/2014/08/21/god-saved-my-life-watch-the-powerful-speech-about-prayer-and-faith-given-by-the-missionary-declared-free-from-ebola/,8/21/2021 0:00,Blaze,1271
"US doctor treated for Ebola virus has recovered, aid group says",http://feeds.foxnews.com/~r/foxnews/health/~3/s3m4TyMg8a4/,8/21/2021 0:00,Fox News,2440
Sealed-off Liberia slum calm amid Ebola outbreak,http://feeds.foxnews.com/~r/foxnews/health/~3/ZEu35FfUMVU/,8/21/2021 0:00,Fox News,7
Liberian health workers receiving experimental drug showing signs of recovery,http://feeds.foxnews.com/~r/foxnews/health/~3/hbmmVGGIQ8Q/,8/19/2021 0:00,Fox News,6
Youth Olympics opening in China amid Ebola worries,http://feedproxy.google.com/~r/Sports-TheWashingtonTimesAmericasNewspaper/~3/L5TwTo_qMOQ/,8/16/2021 0:00,Washington Times,1
New York City man at center of Ebola scare speaks out,http://feeds.foxnews.com/~r/foxnews/health/~3/QeRICmqK8vo/,8/13/2021 0:00,Fox News,12
Ebola: Sierra Leone asks to play in Ghana,http://feedproxy.google.com/~r/Sports-TheWashingtonTimesAmericasNewspaper/~3/ogrmlxbCHRA/,8/12/2021 0:00,Washington Times,1
Daily Beast: Inside an Ebola Hot Zone,http://www.breitbart.com/Big-Government/2014/08/11/Daily-Beast-Inside-an-Ebola-Hot-Zone,8/11/2021 0:00,Breitbart,16
Why Christian went to Africa,http://www.foxnews.com/opinion/2014/08/07/ann-coulter-here-why-this-christian-went-to-africa/,8/10/2021 0:00,Fox News,211
EBOLA EPIDEMIC  CDC director calls scale of outbreak unprecedented,http://www.foxnews.com/health/2014/08/08/scale-ebola-crisis-unprecedented-cdc-director-says/,8/8/2021 0:00,Fox News,34
"World Health Organization: Ebola Outbreak Is International Health Emergency, Requires Extraordinary Response",http://www.theblaze.com/stories/2014/08/08/world-health-organization-ebola-outbreak-is-international-health-emergency-requires-extraordinary-response/,8/8/2021 0:00,Blaze,46
"Liberia, Sierra Leone race to keep those with Ebola in isolation",http://feeds.foxnews.com/~r/foxnews/world/~3/cETnOrUjY64/,8/7/2021 0:00,Fox News,7
"Chief Nurse at Emory Defends Ebola Transfer: 'We Can Fear, Or We Can Care'",http://www.breitbart.com/Big-Peace/2014/08/07/Chief-Nurse-at-Emory-Defends-Ebola-Transfer-We-can-fear-or-we-can-care,8/7/2021 0:00,Breitbart,12
"World View: Russia Appears poised to Invade Ukraine, Threatening War",http://www.breitbart.com/Big-Peace/2014/08/06/7-Aug-14-World-View-Russia-appears-poised-to-invade-Ukraine-threatening-war,8/7/2021 0:00,Breitbart,4
"The Scale of the Ebola Crisis is Unprecedented, Says CDC Director",http://www.theepochtimes.com/n3/854226-the-scale-of-the-ebola-crisis-is-unprecedented-says-cdc-director/?sidebar=related-below,8/7/2021 0:00,Epoch Times,4
CDC Director Brushes Off Concerns that Ebola Could Come Across Southern U.S. Border ,http://www.breitbart.com/Big-Government/2014/08/07/CDC-Director-Brushes-Off-Concerns-that-Ebola-Could-Come-Across-Southern-U-S-Border,8/7/2021 0:00,Breitbart,374
Health officials prepare to receive American patient stricken with Ebola,http://feeds.foxnews.com/~r/foxnews/health/~3/80IYgaYxIrk/,8/2/2021 0:00,Fox News,191
7 Foreign News Stories You Missed In 2014,http://dailycaller.com/2014/12/30/7-foreign-news-stories-you-missed-in-2014/,12/30/2014 22:15,Daily Caller,10
Most annoying flyers,http://www.foxnews.com/travel/2014/12/30/most-annoying-people-youll-meet-at-airport/,12/30/2014 11:19,Fox News,136
"CDC technician possibly exposed to Ebola, agency says",http://www.foxnews.com/health/2014/12/24/cdc-technician-possibly-exposed-to-ebola-agency-says/,12/24/2014 22:34,Fox News,194
Tekmira to supply Ebola treatment for studies in West Africa,http://feeds.foxnews.com/~r/foxnews/health/~3/4az_nZ9dq4E/,12/22/2014 15:40,Fox News,4
"In 2016, Republicans will be fighting to hold Senate majority",http://www.foxnews.com/politics/2014/12/21/in-2016-republicans-will-fighting-to-hold-senate-majority/,12/21/2014 19:07,Fox News,150
11th Sierra Leonean doctor dies from Ebola; fire destroys supplies,http://feeds.foxnews.com/~r/foxnews/health/~3/JsLAyymn7I8/,12/18/2014 17:01,Fox News,7
China approves experimental Ebola vaccine for clinical trials,http://feeds.foxnews.com/~r/foxnews/health/~3/yOCOkh051Iw/,12/18/2014 12:32,Fox News,5
Obama Opts For Politics Over Experience In Surgeon General Pick,http://www.breitbart.com/InstaBlog/2014/12/15/Obama-Opts-For-Politics-Over-Experience-In-Surgeon-General-Pick,12/16/2014 1:34,Breitbart,59
Senate approves Obama pick for surgeon general,http://feeds.foxnews.com/~r/foxnews/politics/~3/_vcpsKgHJp0/,12/16/2014 0:46,Fox News,1754
Sierra Leone area to hold 2-week Ebola ‘lockdown’,http://feeds.foxnews.com/~r/foxnews/health/~3/-or7t9uC0-I/,12/11/2014 12:34,Fox News,11
Senate Democrats Poised To Make A Big Mistake,http://dailycaller.com/2014/12/10/senate-democrats-poised-to-make-a-big-mistake/,12/10/2014 15:52,Daily Caller,28
Watch: TIME Names 'Ebola Fighters' Its 2014 'Person of the Year',http://www.breitbart.com/Breitbart-TV/2014/12/10/TIME-Names-Ebola-Fighters-Its-2014-Person-of-the-Year,12/10/2014 13:59,Breitbart,15
"By Cromnibus! The Good, the Bad, and the Ugly of the Massive New $1.1 Trillion Spending Bill",http://reason.com/blog/2014/12/10/by-cromnibus-the-good-the-bad-and-the-ug,12/10/2014 12:17,Reason.com,176
Junior doctors in Sierra Leone strike over lack of Ebola care,http://feeds.foxnews.com/~r/foxnews/health/~3/eG0Uvo8gGOk/,12/10/2014 12:05,Fox News,6
