name,url,media_id,sum_media_inlink_count,inlink_count,outlink_count,story_count,facebook_share_count,sum_post_count,sum_author_count,sum_channel_count,media_inlink_count,twitter_partisanship,fake_news
"American Conservative",http://www.theamericanconservative.com,22055,0,0,0,5,125,,,,0,"US Right 2019",0
"Fox News",http://www.foxnews.com/,1092,0,0,0,844,627938,,,,0,"US Right 2019",0
"Washington Times",http://www.washingtontimes.com/,101,0,0,0,699,55863,,,,0,"US Right 2019",0
"National Review",http://www.nationalreview.com/,1117,0,0,0,153,66093,,,,0,"US Right 2019",0
Blaze,http://www.theblaze.com,22088,0,0,0,346,426992,,,,0,"US Right 2019",0
"Daily Caller",http://dailycaller.com,18775,0,0,0,206,136598,,,,0,"US Right 2019",0
"Epoch Times",http://www.theepochtimes.com,23411,0,0,0,184,5203,,,,0,"US Right 2019",0
Reason.com,http://reason.com/,72523,0,0,0,139,5262,,,,0,"US Right 2019",0
Federalist,http://thefederalist.com/,366282,0,0,0,3,19898,,,,0,"US Right 2019",0
Breitbart,http://www.breitbart.com,19334,0,0,0,805,345486,,,,0,"US Right 2019",0
