,name,url,media_id,story_count,facebook_share_count,twitter_partisanship
0,American Conservative,http://www.theamericanconservative.com,22055,102,29994,US Right 2019
1,Fox News,http://www.foxnews.com/,1092,22861,33554511,US Right 2019
2,Washington Times,http://www.washingtontimes.com/,101,27628,828637,US Right 2019
3,National Review,http://www.nationalreview.com/,1117,1287,1058962,US Right 2019
4,the-dispatch.com,http://www.the-dispatch.com/#spider,79064,4010,1276,
5,Blaze,http://www.theblaze.com,22088,2111,4108316,US Right 2019
6,The American Conservative,http://www.amconmag.com/blog/,6276,173,31335,
7,Daily Caller,http://dailycaller.com,18775,5740,4118100,US Right 2019
8,Epoch Times,http://www.theepochtimes.com,23411,5711,2680723,US Right 2019
9,Reason.com,http://reason.com/,72523,1135,824733,US Right 2019
10,Federalist,http://thefederalist.com/,366282,109,510877,US Right 2019
11,Breitbart,http://www.breitbart.com,19334,8796,2642839,US Right 2019
