,name,url,media_id,story_count,facebook_share_count,twitter_partisanship
0,American Conservative,http://www.theamericanconservative.com,22055,5,125,US Right 2019
1,Fox News,http://www.foxnews.com/,1092,844,627938,US Right 2019
2,Washington Times,http://www.washingtontimes.com/,101,699,55863,US Right 2019
3,National Review,http://www.nationalreview.com/,1117,153,66093,US Right 2019
4,Blaze,http://www.theblaze.com,22088,346,426992,US Right 2019
5,Daily Caller,http://dailycaller.com,18775,206,136598,US Right 2019
6,Epoch Times,http://www.theepochtimes.com,23411,184,5203,US Right 2019
7,Reason.com,http://reason.com/,72523,139,5262,US Right 2019
8,Federalist,http://thefederalist.com/,366282,3,19898,US Right 2019
9,Breitbart,http://www.breitbart.com,19334,805,345486,US Right 2019
