name,url,media_id,sum_media_inlink_count,inlink_count,outlink_count,story_count,facebook_share_count,sum_post_count,sum_author_count,sum_channel_count,media_inlink_count,twitter_partisanship,fake_news
"American Conservative",http://www.theamericanconservative.com,22055,0,0,0,102,29994,,,,0,"US Right 2019",0
"Fox News",http://www.foxnews.com/,1092,0,0,0,22861,33554511,,,,0,"US Right 2019",0
"Washington Times",http://www.washingtontimes.com/,101,0,0,0,27628,828637,,,,0,"US Right 2019",0
"National Review",http://www.nationalreview.com/,1117,0,0,0,1287,1058962,,,,0,"US Right 2019",0
the-dispatch.com,http://www.the-dispatch.com/#spider,79064,0,0,0,4010,1276,,,,0,null,0
Blaze,http://www.theblaze.com,22088,0,0,0,2111,4108316,,,,0,"US Right 2019",0
"The American Conservative",http://www.amconmag.com/blog/,6276,0,0,0,173,31335,,,,0,null,0
"Daily Caller",http://dailycaller.com,18775,0,0,0,5740,4118100,,,,0,"US Right 2019",0
"Epoch Times",http://www.theepochtimes.com,23411,0,0,0,5711,2680723,,,,0,"US Right 2019",0
Reason.com,http://reason.com/,72523,0,0,0,1135,824733,,,,0,"US Right 2019",0
Federalist,http://thefederalist.com/,366282,0,0,0,109,510877,,,,0,"US Right 2019",0
Breitbart,http://www.breitbart.com,19334,0,0,0,8796,2642839,,,,0,"US Right 2019",0
